product_id,product_name,current_price_reference,recommended_price,pricing_reason,recommendation_date
PROD0043,Phased incremental projection,2526.59,2526.59,Standard pricing based on cost/historical average,2025-07-29
PROD0041,Organic high-level neural-net,2585.76,2961.64,Standard pricing based on cost/historical average,2025-07-29
PROD0010,Profit-focused mission-critical Graphical User Interface,2563.66,2563.66,Standard pricing based on cost/historical average,2025-07-29
PROD0064,Right-sized even-keeled archive,2560.52,2560.52,Standard pricing based on cost/historical average,2025-07-29
PROD0095,Triple-buffered contextually-based methodology,2484.87,3245.2,Standard pricing based on cost/historical average,2025-07-29
PROD0077,Up-sized explicit system engine,2391.94,2391.94,Standard pricing based on cost/historical average,2025-07-29
PROD0068,Phased impactful info-mediaries,2565.03,2565.03,Standard pricing based on cost/historical average,2025-07-29
PROD0091,Exclusive 6thgeneration encryption,2586.69,2586.69,Standard pricing based on cost/historical average,2025-07-29
PROD0099,Front-line non-volatile Graphical User Interface,2580.88,2580.88,Standard pricing based on cost/historical average,2025-07-29
PROD0088,Cloned impactful orchestration,2634.6,2634.6,Standard pricing based on cost/historical average,2025-07-29
PROD0042,Monitored intangible initiative,2637.81,2637.81,Standard pricing based on cost/historical average,2025-07-29
PROD0086,Persistent heuristic attitude,2528.06,3120.44,Standard pricing based on cost/historical average,2025-07-29
PROD0035,Open-architected bottom-line encryption,2553.78,2553.78,Standard pricing based on cost/historical average,2025-07-29
PROD0044,Configurable fault-tolerant workforce,2461.09,2461.09,Standard pricing based on cost/historical average,2025-07-29
PROD0073,Triple-buffered cohesive toolset,2478.45,2478.45,Standard pricing based on cost/historical average,2025-07-29
PROD0047,Programmable multi-state parallelism,2621.05,2621.05,Standard pricing based on cost/historical average,2025-07-29
PROD0069,Horizontal next generation pricing structure,2475.36,2475.36,Standard pricing based on cost/historical average,2025-07-29
PROD0030,Cloned well-modulated knowledge user,2595.25,2595.25,Standard pricing based on cost/historical average,2025-07-29
PROD0056,Robust client-driven orchestration,2478.92,2478.92,Standard pricing based on cost/historical average,2025-07-29
PROD0049,Function-based reciprocal emulation,2574.94,2574.94,Standard pricing based on cost/historical average,2025-07-29
PROD0021,Quality-focused bottom-line task-force,2671.81,2671.81,Standard pricing based on cost/historical average,2025-07-29
PROD0076,Universal composite algorithm,2643.55,2643.55,Standard pricing based on cost/historical average,2025-07-29
PROD0029,Front-line eco-centric strategy,2583.74,2790.54,Standard pricing based on cost/historical average,2025-07-29
PROD0100,Operative homogeneous analyzer,2533.52,2533.52,Standard pricing based on cost/historical average,2025-07-29
PROD0032,Stand-alone composite policy,2503.35,2503.35,Standard pricing based on cost/historical average,2025-07-29
PROD0034,Face-to-face client-server productivity,2648.02,2694.07,Standard pricing based on cost/historical average,2025-07-29
PROD0090,Polarized object-oriented time-frame,2587.05,2587.05,Standard pricing based on cost/historical average,2025-07-29
PROD0007,Extended systemic synergy,2551.35,3006.7,Standard pricing based on cost/historical average,2025-07-29
PROD0006,Reduced 24/7 productivity,2515.51,2515.51,Standard pricing based on cost/historical average,2025-07-29
PROD0012,Configurable holistic definition,2493.87,2493.87,Standard pricing based on cost/historical average,2025-07-29
PROD0016,Robust asynchronous model,2516.64,2516.64,Standard pricing based on cost/historical average,2025-07-29
PROD0055,Organized composite instruction set,2715.04,2715.04,Standard pricing based on cost/historical average,2025-07-29
PROD0053,Profit-focused explicit adapter,2567.93,3060.64,Standard pricing based on cost/historical average,2025-07-29
PROD0054,Self-enabling web-enabled focus group,2499.79,3048.52,Standard pricing based on cost/historical average,2025-07-29
PROD0083,Digitized mission-critical ability,2534.22,2534.22,Standard pricing based on cost/historical average,2025-07-29
PROD0017,Multi-tiered disintermediate synergy,2465.12,2465.12,Standard pricing based on cost/historical average,2025-07-29
PROD0094,Upgradable user-facing process improvement,2571.8,2961.82,Standard pricing based on cost/historical average,2025-07-29
PROD0085,Automated 4thgeneration capability,2665.9,2665.9,Standard pricing based on cost/historical average,2025-07-29
PROD0058,Switchable homogeneous success,2609.33,2609.33,Standard pricing based on cost/historical average,2025-07-29
PROD0057,Cross-platform upward-trending pricing structure,2648.8,2648.8,Standard pricing based on cost/historical average,2025-07-29
PROD0092,Grass-roots dedicated archive,2546.16,2546.16,Standard pricing based on cost/historical average,2025-07-29
PROD0036,Triple-buffered bottom-line workforce,2573.09,2739.15,Standard pricing based on cost/historical average,2025-07-29
PROD0003,Multi-tiered upward-trending standardization,2572.33,3216.17,Standard pricing based on cost/historical average,2025-07-29
PROD0015,Stand-alone bifurcated matrix,2601.09,2895.5,Standard pricing based on cost/historical average,2025-07-29
PROD0004,Customer-focused needs-based approach,2470.71,3017.23,Standard pricing based on cost/historical average,2025-07-29
PROD0060,Quality-focused high-level model,2603.38,2603.38,Standard pricing based on cost/historical average,2025-07-29
PROD0038,Universal exuding infrastructure,2631.07,2631.07,Standard pricing based on cost/historical average,2025-07-29
PROD0082,Ameliorated fresh-thinking superstructure,2593.1,2593.1,Standard pricing based on cost/historical average,2025-07-29
PROD0033,Focused 3rdgeneration moratorium,2398.38,2398.38,Standard pricing based on cost/historical average,2025-07-29
PROD0093,Multi-channeled systematic matrix,2640.74,2640.74,Standard pricing based on cost/historical average,2025-07-29
PROD0011,Synergistic dedicated database,2563.7,2563.7,Standard pricing based on cost/historical average,2025-07-29
PROD0078,Front-line content-based artificial intelligence,2437.62,2437.62,Standard pricing based on cost/historical average,2025-07-29
PROD0013,Face-to-face object-oriented help-desk,2551.14,2551.14,Standard pricing based on cost/historical average,2025-07-29
PROD0074,Intuitive 3rdgeneration moderator,2583.9,2583.9,Standard pricing based on cost/historical average,2025-07-29
PROD0075,Configurable analyzing help-desk,2589.99,2589.99,Standard pricing based on cost/historical average,2025-07-29
PROD0062,Up-sized next generation protocol,2567.45,2567.45,Standard pricing based on cost/historical average,2025-07-29
PROD0067,Open-architected executive access,2503.57,2503.57,Standard pricing based on cost/historical average,2025-07-29
PROD0079,Re-contextualized needs-based parallelism,2591.98,2591.98,Standard pricing based on cost/historical average,2025-07-29
PROD0061,Exclusive background utilization,2466.75,2466.75,Standard pricing based on cost/historical average,2025-07-29
PROD0084,Networked 6thgeneration concept,2572.4,2806.53,Standard pricing based on cost/historical average,2025-07-29
PROD0023,Multi-tiered directional installation,2519.76,2519.76,Standard pricing based on cost/historical average,2025-07-29
PROD0081,Total optimizing matrix,2599.09,2599.09,Standard pricing based on cost/historical average,2025-07-29
PROD0087,Seamless empowering model,2534.45,2534.45,Standard pricing based on cost/historical average,2025-07-29
PROD0009,Triple-buffered even-keeled firmware,2589.86,2589.86,Standard pricing based on cost/historical average,2025-07-29
PROD0048,Profound neutral customer loyalty,2602.56,2614.67,Standard pricing based on cost/historical average,2025-07-29
PROD0022,Team-oriented systematic product,2468.12,2468.12,Standard pricing based on cost/historical average,2025-07-29
PROD0071,Front-line foreground policy,2506.73,2506.73,Standard pricing based on cost/historical average,2025-07-29
PROD0059,Optional analyzing function,2588.03,2588.03,Standard pricing based on cost/historical average,2025-07-29
PROD0098,Front-line interactive knowledgebase,2593.52,2598.21,Standard pricing based on cost/historical average,2025-07-29
PROD0050,Persistent object-oriented monitoring,2490.96,2490.96,Standard pricing based on cost/historical average,2025-07-29
PROD0070,Robust coherent budgetary management,2616.97,2616.97,Standard pricing based on cost/historical average,2025-07-29
PROD0002,Synergistic scalable benchmark,2556.99,2556.99,Standard pricing based on cost/historical average,2025-07-29
PROD0024,Secured incremental knowledge user,2496.5,2784.76,Standard pricing based on cost/historical average,2025-07-29
PROD0005,Fully-configurable well-modulated infrastructure,2561.09,2561.09,Standard pricing based on cost/historical average,2025-07-29
PROD0051,Synchronized cohesive throughput,2521.68,2521.68,Standard pricing based on cost/historical average,2025-07-29
PROD0037,Organic client-server data-warehouse,2560.12,2560.12,Standard pricing based on cost/historical average,2025-07-29
PROD0025,Vision-oriented asymmetric function,2530.48,2530.48,Standard pricing based on cost/historical average,2025-07-29
PROD0072,Profit-focused interactive task-force,2618.28,2618.28,Standard pricing based on cost/historical average,2025-07-29
PROD0001,Centralized 4thgeneration protocol,2527.95,2550.46,Standard pricing based on cost/historical average,2025-07-29
PROD0080,Universal asymmetric circuit,2568.83,3050.14,Standard pricing based on cost/historical average,2025-07-29
PROD0008,Persevering analyzing portal,2447.63,2951.42,Standard pricing based on cost/historical average,2025-07-29
PROD0063,Re-contextualized zero administration paradigm,2499.83,2499.83,Standard pricing based on cost/historical average,2025-07-29
PROD0014,Fully-configurable maximized application,2483.13,2483.13,Standard pricing based on cost/historical average,2025-07-29
PROD0046,Enterprise-wide hybrid alliance,2490.56,3169.6,Standard pricing based on cost/historical average,2025-07-29
PROD0026,Advanced intangible intranet,2570.38,3014.58,Standard pricing based on cost/historical average,2025-07-29
PROD0028,Managed background matrices,2494.66,2494.66,Standard pricing based on cost/historical average,2025-07-29
PROD0097,Decentralized multimedia installation,2685.01,2685.01,Standard pricing based on cost/historical average,2025-07-29
PROD0039,Progressive multi-state collaboration,2484.36,3015.95,Standard pricing based on cost/historical average,2025-07-29
PROD0052,Streamlined asymmetric orchestration,2674.36,2674.36,Standard pricing based on cost/historical average,2025-07-29
PROD0027,Configurable human-resource attitude,2540.49,2540.49,Standard pricing based on cost/historical average,2025-07-29
PROD0045,Enterprise-wide 24/7 process improvement,2527.36,2527.36,Standard pricing based on cost/historical average,2025-07-29
PROD0040,Sharable solution-oriented projection,2505.56,2505.56,Standard pricing based on cost/historical average,2025-07-29
PROD0019,Seamless didactic instruction set,2646.65,2646.65,Standard pricing based on cost/historical average,2025-07-29
PROD0018,Phased 4thgeneration approach,2514.35,2514.35,Standard pricing based on cost/historical average,2025-07-29
PROD0020,Cross-platform methodical hardware,2506.5,2506.5,Standard pricing based on cost/historical average,2025-07-29
PROD0065,Organic intangible support,2493.02,2493.02,Standard pricing based on cost/historical average,2025-07-29
PROD0066,Compatible directional pricing structure,2636.45,2636.45,Standard pricing based on cost/historical average,2025-07-29
PROD0096,Switchable didactic standardization,2510.6,2510.6,Standard pricing based on cost/historical average,2025-07-29
PROD0089,Universal intangible portal,2537.86,2537.86,Standard pricing based on cost/historical average,2025-07-29
PROD0031,Operative attitude-oriented parallelism,2606.84,2606.84,Standard pricing based on cost/historical average,2025-07-29
PROD0107,Customer-focused zero tolerance interface,4274.84,5129.8,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0109,Distributed 5thgeneration complexity,2795.49,3354.59,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0142,Organized uniform initiative,2153.67,2584.4,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0163,De-engineered client-driven help-desk,2521.53,3025.84,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0114,Compatible multimedia application,3366.16,4039.4,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0122,Profit-focused optimal frame,4445.74,5334.89,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0151,Mandatory user-facing intranet,3475.3,4170.37,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0153,Total bi-directional moratorium,3936.21,4723.45,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0157,Configurable didactic function,1099.65,1099.65,Standard pricing based on cost/historical average,2025-07-29
PROD0174,Programmable static monitoring,1523.04,1827.65,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0175,Optimized static throughput,2521.85,3026.21,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0182,Visionary zero administration alliance,573.86,573.86,Standard pricing based on cost/historical average,2025-07-29
PROD0106,Proactive asymmetric encoding,1582.51,1899.02,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0116,Intuitive bifurcated software,1982.02,2378.43,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0123,Fundamental directional knowledgebase,121.95,121.95,Standard pricing based on cost/historical average,2025-07-29
PROD0147,Phased content-based task-force,4202.64,5043.17,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0177,Profit-focused non-volatile middleware,1570.62,1884.74,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0181,Seamless zero-defect migration,2577.15,3092.58,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0124,Monitored bottom-line orchestration,390.72,390.72,Standard pricing based on cost/historical average,2025-07-29
PROD0128,Front-line even-keeled time-frame,811.68,811.68,Standard pricing based on cost/historical average,2025-07-29
PROD0129,Total multimedia project,2370.39,2844.47,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0143,Persevering 3rdgeneration secured line,1399.29,1399.29,Standard pricing based on cost/historical average,2025-07-29
PROD0171,Extended user-facing moderator,2998.99,3598.79,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0179,Switchable bi-directional neural-net,2833.3,3399.97,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0108,Proactive incremental secured line,2310.95,2773.13,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0169,Centralized web-enabled system engine,2812.08,3374.5,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0173,Universal interactive complexity,3134.95,3761.95,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0183,De-engineered attitude-oriented capability,893.82,893.82,Standard pricing based on cost/historical average,2025-07-29
PROD0191,Programmable encompassing architecture,659.6,659.6,Standard pricing based on cost/historical average,2025-07-29
PROD0194,Robust user-facing budgetary management,2412.96,2895.55,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0112,Innovative optimal knowledgebase,776.57,776.57,Standard pricing based on cost/historical average,2025-07-29
PROD0113,Centralized holistic knowledge user,179.35,179.35,Standard pricing based on cost/historical average,2025-07-29
PROD0120,Focused next generation infrastructure,2247.05,2696.45,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0146,Seamless multi-tasking Internet solution,3867.59,4641.1,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0160,Ameliorated analyzing project,4117.88,4941.45,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0178,Phased incremental concept,1520.52,1824.62,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0180,Cloned dynamic hub,733.74,733.74,Standard pricing based on cost/historical average,2025-07-29
PROD0193,Seamless stable collaboration,4445.27,5334.32,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0101,Expanded logistical installation,574.05,574.05,Standard pricing based on cost/historical average,2025-07-29
PROD0103,Profound real-time encoding,3959.23,4751.08,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0149,Balanced stable complexity,4369.27,5243.13,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0166,Implemented maximized parallelism,2242.05,2690.46,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0176,Open-architected regional firmware,1587.27,1904.72,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0185,Realigned high-level Internet solution,4289.6,5147.51,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0196,Digitized attitude-oriented projection,3369.18,4043.02,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0198,Configurable systemic architecture,3292.59,3951.11,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0118,Realigned intermediate middleware,2586.75,3104.1,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0134,De-engineered bottom-line archive,3394.77,4073.72,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0137,Integrated disintermediate capacity,3869.27,4643.12,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0145,Visionary clear-thinking open system,2766.81,3320.17,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0165,Mandatory high-level knowledge user,4195.98,5035.18,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0187,Optimized even-keeled extranet,2584.74,3101.69,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0195,Devolved bottom-line methodology,3757.62,4509.14,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0110,Customer-focused holistic hierarchy,2520.21,3024.25,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0117,Right-sized intangible core,2798.18,3357.81,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0121,Multi-layered even-keeled protocol,2778.23,3333.87,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0132,Reactive user-facing Graphic Interface,2951.67,3542.0,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0141,Customizable mission-critical parallelism,1140.45,1140.45,Standard pricing based on cost/historical average,2025-07-29
PROD0186,Synergized disintermediate Local Area Network,3768.12,4521.74,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0190,Function-based heuristic open architecture,1983.75,2380.5,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0192,Mandatory disintermediate groupware,414.72,414.72,Standard pricing based on cost/historical average,2025-07-29
PROD0104,Proactive didactic synergy,404.44,404.44,Standard pricing based on cost/historical average,2025-07-29
PROD0119,Enhanced system-worthy strategy,2698.61,3238.33,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0136,Exclusive static alliance,2308.1,2769.71,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0152,Integrated tangible algorithm,1188.46,1188.46,Standard pricing based on cost/historical average,2025-07-29
PROD0155,Adaptive even-keeled conglomeration,4397.22,5276.66,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0158,Object-based high-level array,3917.13,4700.56,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0135,Enterprise-wide static extranet,4052.52,4863.02,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0138,Diverse directional moratorium,4280.98,5137.18,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0162,Exclusive full-range circuit,2497.9,2997.49,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0167,Streamlined neutral structure,1767.07,2120.49,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0111,Progressive empowering function,2402.51,2883.01,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0127,Upgradable foreground instruction set,3355.78,4026.94,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0133,Stand-alone transitional data-warehouse,1916.24,2299.48,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0148,Ameliorated demand-driven throughput,4419.14,5302.96,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0154,Open-architected 6thgeneration architecture,1895.3,2274.35,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0156,Quality-focused contextually-based interface,2891.51,3469.81,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0159,Grass-roots analyzing initiative,3992.52,4791.02,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0164,Synergized well-modulated support,4345.76,5214.91,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0168,Operative transitional toolset,1131.6,1131.6,Standard pricing based on cost/historical average,2025-07-29
PROD0126,Up-sized encompassing projection,3003.24,3603.89,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0140,Seamless multi-tasking definition,2638.37,3166.04,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0150,Extended even-keeled analyzer,1262.91,1262.91,Standard pricing based on cost/historical average,2025-07-29
PROD0170,Focused bi-directional project,4211.19,5053.43,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0188,Customizable tertiary policy,215.97,215.97,Standard pricing based on cost/historical average,2025-07-29
PROD0199,Realigned interactive instruction set,3262.22,3914.66,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0200,Fundamental needs-based capability,4328.89,5194.67,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0125,Realigned regional support,1879.51,2255.42,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0130,Pre-emptive bottom-line throughput,2719.77,3263.72,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0139,Persistent global hierarchy,409.65,409.65,Standard pricing based on cost/historical average,2025-07-29
PROD0189,De-engineered client-server standardization,247.49,247.49,Standard pricing based on cost/historical average,2025-07-29
PROD0197,Optional reciprocal help-desk,2600.89,3121.07,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0102,Automated bottom-line hierarchy,3627.9,4353.48,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0105,Persevering fault-tolerant architecture,1741.14,2089.37,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0115,Open-architected leadingedge emulation,537.9,537.9,Standard pricing based on cost/historical average,2025-07-29
PROD0131,Extended client-server approach,1837.11,2204.53,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0144,Versatile bi-directional architecture,609.25,609.25,Standard pricing based on cost/historical average,2025-07-29
PROD0161,Function-based system-worthy strategy,4422.19,5306.63,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0172,Total executive alliance,2543.01,3051.61,"High cost product, no historical sales (higher default markup)",2025-07-29
PROD0184,Versatile content-based capacity,1801.61,2161.93,"High cost product, no historical sales (higher default markup)",2025-07-29
